archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,1977-03,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2003-08,50,50,40,msds_v2_diagnoses_and_history
24/04/2025,2019-01,55670,55670,33305,msds_v2_diagnoses_and_history
24/04/2025,1998-02,100,100,95,msds_v2_diagnoses_and_history
24/04/2025,1973-05,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2012-01,14585,14585,12125,msds_v2_diagnoses_and_history
24/04/2025,1995-03,115,115,110,msds_v2_diagnoses_and_history
24/04/2025,1999-07,60,60,55,msds_v2_diagnoses_and_history
24/04/2025,2013-04,1025,1025,485,msds_v2_diagnoses_and_history
24/04/2025,1994-03,110,110,105,msds_v2_diagnoses_and_history
24/04/2025,1975-01,20,20,20,msds_v2_diagnoses_and_history
24/04/2025,2024-02,219265,219265,54910,msds_v2_diagnoses_and_history
24/04/2025,2000-05,95,95,95,msds_v2_diagnoses_and_history
24/04/2025,1985-08,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2023-02,170835,170835,45680,msds_v2_diagnoses_and_history
24/04/2025,2019-04,46620,46620,18725,msds_v2_diagnoses_and_history
24/04/2025,2006-07,75,75,65,msds_v2_diagnoses_and_history
24/04/2025,2020-02,71230,71230,20875,msds_v2_diagnoses_and_history
24/04/2025,2000-12,45,45,35,msds_v2_diagnoses_and_history
24/04/2025,1990-11,40,40,35,msds_v2_diagnoses_and_history
24/04/2025,2018-10,27250,27250,10935,msds_v2_diagnoses_and_history
24/04/2025,1983-01,815,815,735,msds_v2_diagnoses_and_history
24/04/2025,1984-10,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2022-08,132025,132025,41635,msds_v2_diagnoses_and_history
24/04/2025,2009-07,685,685,360,msds_v2_diagnoses_and_history
24/04/2025,2007-12,90,90,60,msds_v2_diagnoses_and_history
24/04/2025,2018-12,26695,26695,11030,msds_v2_diagnoses_and_history
24/04/2025,1987-07,30,30,25,msds_v2_diagnoses_and_history
24/04/2025,1992-11,55,55,45,msds_v2_diagnoses_and_history
24/04/2025,2023-01,189900,189895,58635,msds_v2_diagnoses_and_history
24/04/2025,2007-03,380,380,225,msds_v2_diagnoses_and_history
24/04/2025,2005-11,55,55,45,msds_v2_diagnoses_and_history
24/04/2025,2021-07,95190,95190,29595,msds_v2_diagnoses_and_history
24/04/2025,2012-07,1395,1395,615,msds_v2_diagnoses_and_history
24/04/2025,1997-10,35,35,35,msds_v2_diagnoses_and_history
